oportunidade,objeto,data licitação
7004477367,"Aquisição de Recheios para Torres, Va...",08/08/2025
7004477393,Aquisição de Porta paletes e equipame...,11/08/2025
7004478104,Serviços de testes de isolação elétri...,22/08/2025
7004478234,Afretamento de até seis Embarcações d...,13/08/2025
7004478834,Serviços Técnicos para Execução de pr...,11/09/2025
7004479342,Contratação de Links de Internet Dedi...,28/08/2025
7004479970,Aquisição de Válvulas macho não lubri...,11/08/2025
7004480064,Serviços de Construção e Montagem de...,20/08/2025
7004480119,"Serviços de coleta, transporte, trata...",21/08/2025
7004481064,Aquisição de Redutor velocidade,08/08/2025
7004482875,Aquisição de Válvulas macho não lubri...,11/08/2025
7004483558,Aquisição de SDV tipo Esfera,11/08/2025
7004484466,Afretamento de pelo menos uma embarca...,25/08/2025
7004484498,Serviços de suporte aos programas de...,11/08/2025
7004484654,Contratação de Serviços especializado...,18/08/2025
7004484658,Aquisição de Parafuso Estojo por con...,08/08/2025
7004484886,Serviço de gestão de assembleias gera...,14/08/2025
7004485880,Aquisição - Catalisador Metanol,12/08/2025
7004486103,Detetor interface de pig conexão elét...,08/08/2025
